c_birth,sex,geo,TIME_PERIOD,OBS_VALUE
Non-EU27 countries (from 2020) nor reporting country,Total,Netherlands,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Norway,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Norway,2023,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Norway,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Poland,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Poland,2023,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Poland,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Portugal,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Portugal,2023,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Portugal,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Romania,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Romania,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Sweden,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Sweden,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Slovenia,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Slovenia,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Slovakia,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Slovakia,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Türkiye,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Females,Austria,2022,49.1
Non-EU27 countries (from 2020) nor EFTA countries,Females,Austria,2024,49.7
Non-EU27 countries (from 2020) nor EFTA countries,Females,Belgium,2022,50.2
Non-EU27 countries (from 2020) nor EFTA countries,Females,Belgium,2024,50.2
Non-EU27 countries (from 2020) nor EFTA countries,Females,Bulgaria,2022,50.6
Non-EU27 countries (from 2020) nor EFTA countries,Females,Bulgaria,2024,50.2
Non-EU27 countries (from 2020) nor EFTA countries,Females,Switzerland,2022,52.8
Non-EU27 countries (from 2020) nor EFTA countries,Females,Switzerland,2024,53.0
Non-EU27 countries (from 2020) nor EFTA countries,Females,Cyprus,2022,57.1
Non-EU27 countries (from 2020) nor EFTA countries,Females,Cyprus,2024,53.8
Non-EU27 countries (from 2020) nor EFTA countries,Females,Czechia,2022,43.7
Non-EU27 countries (from 2020) nor EFTA countries,Females,Czechia,2024,52.2
Non-EU27 countries (from 2020) nor EFTA countries,Females,Germany,2022,49.4
Non-EU27 countries (from 2020) nor EFTA countries,Females,Germany,2024,49.3
Non-EU27 countries (from 2020) nor EFTA countries,Females,Denmark,2022,51.5
Non-EU27 countries (from 2020) nor EFTA countries,Females,Denmark,2024,52.0
Non-EU27 countries (from 2020) nor EFTA countries,Females,Estonia,2022,57.1
Non-EU27 countries (from 2020) nor EFTA countries,Females,Estonia,2024,57.3
Non-EU27 countries (from 2020) nor EFTA countries,Females,Greece,2022,49.7
Non-EU27 countries (from 2020) nor EFTA countries,Females,Greece,2023,50.0
Non-EU27 countries (from 2020) nor EFTA countries,Females,Greece,2024,49.7
Non-EU27 countries (from 2020) nor EFTA countries,Females,Spain,2022,52.8
Non-EU27 countries (from 2020) nor EFTA countries,Females,Spain,2024,51.7
Non-EU27 countries (from 2020) nor EFTA countries,Females,Finland,2022,49.1
Non-EU27 countries (from 2020) nor EFTA countries,Females,Finland,2023,48.8
Non-EU27 countries (from 2020) nor EFTA countries,Females,Finland,2024,49.1
Non-EU27 countries (from 2020) nor EFTA countries,Females,France,2021,51.4
Non-EU27 countries (from 2020) nor EFTA countries,Females,France,2022,51.2
Non-EU27 countries (from 2020) nor EFTA countries,Females,France,2024,51.4
Non-EU27 countries (from 2020) nor EFTA countries,Females,Croatia,2022,53.7
Non-EU27 countries (from 2020) nor EFTA countries,Females,Croatia,2024,50.9
Non-EU27 countries (from 2020) nor EFTA countries,Females,Hungary,2022,45.9
Non-EU27 countries (from 2020) nor EFTA countries,Females,Hungary,2024,45.7
Non-EU27 countries (from 2020) nor EFTA countries,Females,Ireland,2022,50.0
Non-EU27 countries (from 2020) nor EFTA countries,Females,Ireland,2024,51.2
Non-EU27 countries (from 2020) nor EFTA countries,Females,Iceland,2022,52.2
Non-EU27 countries (from 2020) nor EFTA countries,Females,Iceland,2024,52.1
Non-EU27 countries (from 2020) nor EFTA countries,Females,Italy,2022,50.2
Non-EU27 countries (from 2020) nor EFTA countries,Females,Italy,2024,49.7
Non-EU27 countries (from 2020) nor EFTA countries,Females,Liechtenstein,2022,56.0
Non-EU27 countries (from 2020) nor EFTA countries,Females,Liechtenstein,2024,56.3
Non-EU27 countries (from 2020) nor EFTA countries,Females,Lithuania,2022,53.2
Non-EU27 countries (from 2020) nor EFTA countries,Females,Luxembourg,2022,50.8
Non-EU27 countries (from 2020) nor EFTA countries,Females,Luxembourg,2024,51.0
Non-EU27 countries (from 2020) nor EFTA countries,Females,Latvia,2022,59.7
Non-EU27 countries (from 2020) nor EFTA countries,Females,Latvia,2024,59.1
Non-EU27 countries (from 2020) nor EFTA countries,Females,Malta,2022,41.3
Non-EU27 countries (from 2020) nor EFTA countries,Females,Malta,2024,39.1
Non-EU27 countries (from 2020) nor EFTA countries,Females,Netherlands,2022,51.4
Non-EU27 countries (from 2020) nor EFTA countries,Females,Netherlands,2024,51.6
Non-EU27 countries (from 2020) nor EFTA countries,Females,Norway,2022,51.7
Non-EU27 countries (from 2020) nor EFTA countries,Females,Norway,2023,52.3
Non-EU27 countries (from 2020) nor EFTA countries,Females,Norway,2024,52.4
Non-EU27 countries (from 2020) nor EFTA countries,Females,Poland,2022,52.5
Non-EU27 countries (from 2020) nor EFTA countries,Females,Poland,2023,52.6
Non-EU27 countries (from 2020) nor EFTA countries,Females,Poland,2024,52.7
Non-EU27 countries (from 2020) nor EFTA countries,Females,Portugal,2022,51.6
Non-EU27 countries (from 2020) nor EFTA countries,Females,Portugal,2023,50.9
Non-EU27 countries (from 2020) nor EFTA countries,Females,Portugal,2024,49.2
Non-EU27 countries (from 2020) nor EFTA countries,Females,Romania,2022,48.7
Non-EU27 countries (from 2020) nor EFTA countries,Females,Romania,2024,42.4
Non-EU27 countries (from 2020) nor EFTA countries,Females,Sweden,2022,48.7
Non-EU27 countries (from 2020) nor EFTA countries,Females,Sweden,2024,48.9
Non-EU27 countries (from 2020) nor EFTA countries,Females,Slovenia,2022,39.6
Non-EU27 countries (from 2020) nor EFTA countries,Females,Slovenia,2024,40.1
Non-EU27 countries (from 2020) nor EFTA countries,Females,Slovakia,2022,47.0
Non-EU27 countries (from 2020) nor EFTA countries,Females,Slovakia,2024,46.8
Non-EU27 countries (from 2020) nor EFTA countries,Females,Türkiye,2024,53.1
Non-EU27 countries (from 2020) nor EFTA countries,Males,Austria,2022,50.9
Non-EU27 countries (from 2020) nor EFTA countries,Males,Austria,2024,50.3
Non-EU27 countries (from 2020) nor EFTA countries,Males,Belgium,2022,49.8
Non-EU27 countries (from 2020) nor EFTA countries,Males,Belgium,2024,49.8
Non-EU27 countries (from 2020) nor EFTA countries,Males,Bulgaria,2022,49.4
Non-EU27 countries (from 2020) nor EFTA countries,Males,Bulgaria,2024,49.8
Non-EU27 countries (from 2020) nor EFTA countries,Males,Switzerland,2022,47.2
Non-EU27 countries (from 2020) nor EFTA countries,Males,Switzerland,2024,47.0
Non-EU27 countries (from 2020) nor EFTA countries,Males,Cyprus,2022,42.9
Non-EU27 countries (from 2020) nor EFTA countries,Males,Cyprus,2024,46.2
Non-EU27 countries (from 2020) nor EFTA countries,Males,Czechia,2022,56.3
Non-EU27 countries (from 2020) nor EFTA countries,Males,Czechia,2024,47.8
Non-EU27 countries (from 2020) nor EFTA countries,Males,Germany,2022,50.6
Non-EU27 countries (from 2020) nor EFTA countries,Males,Germany,2024,50.7
Non-EU27 countries (from 2020) nor EFTA countries,Males,Denmark,2022,48.5
Non-EU27 countries (from 2020) nor EFTA countries,Males,Denmark,2024,48.0
Non-EU27 countries (from 2020) nor EFTA countries,Males,Estonia,2022,42.9
Non-EU27 countries (from 2020) nor EFTA countries,Males,Estonia,2024,42.7
Non-EU27 countries (from 2020) nor EFTA countries,Males,Greece,2022,50.3
Non-EU27 countries (from 2020) nor EFTA countries,Males,Greece,2023,50.0
Non-EU27 countries (from 2020) nor EFTA countries,Males,Greece,2024,50.3
Non-EU27 countries (from 2020) nor EFTA countries,Males,Spain,2022,47.2
Non-EU27 countries (from 2020) nor EFTA countries,Males,Spain,2024,48.3
Non-EU27 countries (from 2020) nor EFTA countries,Males,Finland,2022,50.9
Non-EU27 countries (from 2020) nor EFTA countries,Males,Finland,2023,51.2
Non-EU27 countries (from 2020) nor EFTA countries,Males,Finland,2024,50.9
Non-EU27 countries (from 2020) nor EFTA countries,Males,France,2021,48.6
Non-EU27 countries (from 2020) nor EFTA countries,Males,France,2022,48.8
Non-EU27 countries (from 2020) nor EFTA countries,Males,France,2024,48.6
Non-EU27 countries (from 2020) nor EFTA countries,Males,Croatia,2022,46.3
Non-EU27 countries (from 2020) nor EFTA countries,Males,Croatia,2024,49.1
Non-EU27 countries (from 2020) nor EFTA countries,Males,Hungary,2022,54.1
Non-EU27 countries (from 2020) nor EFTA countries,Males,Hungary,2024,54.3
Non-EU27 countries (from 2020) nor EFTA countries,Males,Ireland,2022,50.0
Non-EU27 countries (from 2020) nor EFTA countries,Males,Ireland,2024,48.8
Non-EU27 countries (from 2020) nor EFTA countries,Males,Iceland,2022,47.8
Non-EU27 countries (from 2020) nor EFTA countries,Males,Iceland,2024,47.9
Non-EU27 countries (from 2020) nor EFTA countries,Males,Italy,2022,49.8
Non-EU27 countries (from 2020) nor EFTA countries,Males,Italy,2024,50.3
Non-EU27 countries (from 2020) nor EFTA countries,Males,Liechtenstein,2022,44.0
Non-EU27 countries (from 2020) nor EFTA countries,Males,Liechtenstein,2024,43.7
Non-EU27 countries (from 2020) nor EFTA countries,Males,Lithuania,2022,46.8
Non-EU27 countries (from 2020) nor EFTA countries,Males,Luxembourg,2022,49.2
Non-EU27 countries (from 2020) nor EFTA countries,Males,Luxembourg,2024,49.0
Non-EU27 countries (from 2020) nor EFTA countries,Males,Latvia,2022,40.3
Non-EU27 countries (from 2020) nor EFTA countries,Males,Latvia,2024,40.9
Non-EU27 countries (from 2020) nor EFTA countries,Males,Malta,2022,58.7
Non-EU27 countries (from 2020) nor EFTA countries,Males,Malta,2024,60.9
Non-EU27 countries (from 2020) nor EFTA countries,Males,Netherlands,2022,48.6
Non-EU27 countries (from 2020) nor EFTA countries,Males,Netherlands,2024,48.4
Non-EU27 countries (from 2020) nor EFTA countries,Males,Norway,2022,48.3
Non-EU27 countries (from 2020) nor EFTA countries,Males,Norway,2023,47.7
Non-EU27 countries (from 2020) nor EFTA countries,Males,Norway,2024,47.6
Non-EU27 countries (from 2020) nor EFTA countries,Males,Poland,2022,47.5
Non-EU27 countries (from 2020) nor EFTA countries,Males,Poland,2023,47.4
Non-EU27 countries (from 2020) nor EFTA countries,Males,Poland,2024,47.3
Non-EU27 countries (from 2020) nor EFTA countries,Males,Portugal,2022,48.4
Non-EU27 countries (from 2020) nor EFTA countries,Males,Portugal,2023,49.1
Non-EU27 countries (from 2020) nor EFTA countries,Males,Portugal,2024,50.8
Non-EU27 countries (from 2020) nor EFTA countries,Males,Romania,2022,51.3
Non-EU27 countries (from 2020) nor EFTA countries,Males,Romania,2024,57.6
Non-EU27 countries (from 2020) nor EFTA countries,Males,Sweden,2022,51.3
Non-EU27 countries (from 2020) nor EFTA countries,Males,Sweden,2024,51.1
Non-EU27 countries (from 2020) nor EFTA countries,Males,Slovenia,2022,60.4
Non-EU27 countries (from 2020) nor EFTA countries,Males,Slovenia,2024,59.9
Non-EU27 countries (from 2020) nor EFTA countries,Males,Slovakia,2022,53.0
Non-EU27 countries (from 2020) nor EFTA countries,Males,Slovakia,2024,53.2
Non-EU27 countries (from 2020) nor EFTA countries,Males,Türkiye,2024,46.9
Non-EU27 countries (from 2020) nor EFTA countries,Total,Austria,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Austria,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Belgium,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Belgium,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Bulgaria,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Bulgaria,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Switzerland,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Switzerland,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Cyprus,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Cyprus,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Czechia,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Czechia,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Germany,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Germany,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Denmark,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Denmark,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Estonia,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Estonia,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Greece,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Greece,2023,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Greece,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Spain,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Spain,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Finland,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Finland,2023,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Finland,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,France,2021,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,France,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,France,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Croatia,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Croatia,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Hungary,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Hungary,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Ireland,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Ireland,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Iceland,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Iceland,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Italy,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Italy,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Liechtenstein,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Liechtenstein,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Lithuania,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Luxembourg,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Luxembourg,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Latvia,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Latvia,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Malta,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Malta,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Netherlands,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Netherlands,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Norway,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Norway,2023,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Norway,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Poland,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Poland,2023,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Poland,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Portugal,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Portugal,2023,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Portugal,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Romania,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Romania,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Sweden,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Sweden,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Slovenia,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Slovenia,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Slovakia,2022,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Slovakia,2024,100.0
Non-EU27 countries (from 2020) nor EFTA countries,Total,Türkiye,2024,100.0
